process,ans,r,lambda,epoch,n133803,-459.9999903,0.68054255,0.933070406,114,1
134311,-459.9999987,0.680549565,0.933075206,114,1,,,,,
134321,-459.9999987,0.680549554,0.933063154,114,1,,,,,
134311,-459.9999987,0.680549546,0.933063259,114,1,,,,,
134319,-459.9999986,0.680549558,0.933063815,114,1,,,,,
134334,-459.9999986,0.680549567,0.933061926,114,1,,,,,
134329,-459.9999986,0.680549547,0.933078557,114,1,,,,,
134329,-459.9999986,0.680549559,0.933071728,114,1,,,,,
134319,-459.9999986,0.680549562,0.933070471,114,1,,,,,
134328,-459.9999986,0.680549556,0.933079051,114,1,,,,,
134314,-459.9999986,0.680549559,0.933073934,114,1,,,,,
134332,-459.9999986,0.680549544,0.933061627,114,1,,,,,
134325,-459.9999986,0.680549569,0.93307088,114,1,,,,,
134311,-459.9999986,0.680549567,0.93306271,114,1,,,,,
134310,-459.9999986,0.680549546,0.933069103,114,1,,,,,
134312,-459.9999985,0.680549553,0.933063136,114,1,,,,,
134336,-459.9999985,0.680549552,0.933067802,114,1,,,,,
134340,-459.9999985,0.680549552,0.933067226,114,1,,,,,
134333,-459.9999985,0.680549556,0.933066987,114,1,,,,,
134320,-459.9999985,0.680549565,0.933069621,114,1,,,,,
134337,-459.9999985,0.680549565,0.933072044,114,1,,,,,
134320,-459.9999985,0.680549558,0.933069525,114,1,,,,,
134323,-459.9999985,0.680549564,0.933068643,114,1,,,,,
134323,-459.9999985,0.68054956,0.933068563,114,1,,,,,
134316,-459.9999985,0.680549543,0.933061878,114,1,,,,,
134313,-459.9999985,0.680549561,0.933072602,114,1,,,,,
134340,-459.9999985,0.680549567,0.933068953,114,1,,,,,
134332,-459.9999985,0.680549549,0.933060131,114,1,,,,,
134325,-459.9999984,0.680549558,0.933070104,114,1,,,,,
134335,-459.9999984,0.680549555,0.933067407,114,1,,,,,
134310,-459.9999984,0.680549545,0.93306427,114,1,,,,,
134311,-459.9999984,0.680549568,0.933078698,114,1,,,,,
134337,-459.9999984,0.680549561,0.933067862,114,1,,,,,
134332,-459.9999984,0.680549567,0.933074334,114,1,,,,,
134310,-459.9999984,0.680549546,0.933078997,114,1,,,,,
134325,-459.9999984,0.680549561,0.933078382,114,1,,,,,
134323,-459.9999984,0.680549558,0.933071366,114,1,,,,,
134320,-459.9999984,0.680549544,0.933071962,114,1,,,,,
134312,-459.9999984,0.680549546,0.933077681,114,1,,,,,
134326,-459.9999984,0.680549543,0.933065869,114,1,,,,,
134328,-459.9999984,0.680549548,0.933076741,114,1,,,,,
134340,-459.9999984,0.680549563,0.933069631,114,1,,,,,
134317,-459.9999984,0.68054955,0.933065373,114,1,,,,,
134325,-459.9999984,0.680549561,0.933077193,114,1,,,,,
134340,-459.9999984,0.680549549,0.933072969,114,1,,,,,
134335,-459.9999984,0.680549564,0.933062381,114,1,,,,,
134320,-459.9999983,0.680549566,0.933067413,114,1,,,,,
134324,-459.9999983,0.680549569,0.933066302,114,1,,,,,
134319,-459.9999983,0.680549551,0.933071268,114,1,,,,,
134337,-459.9999983,0.680549569,0.93306588,114,1,,,,,
134326,-459.9999983,0.68054955,0.933078493,114,1,,,,,
134313,-459.9999983,0.680549569,0.933064835,114,1,,,,,
134340,-459.9999983,0.680549569,0.933061873,114,1,,,,,
134315,-459.9999983,0.680549555,0.93307341,114,1,,,,,
134324,-459.9999983,0.680549548,0.933064685,114,1,,,,,
134336,-459.9999983,0.680549565,0.933060503,114,1,,,,,
134327,-459.9999983,0.680549549,0.933076938,114,1,,,,,
134315,-459.9999983,0.680549564,0.933060324,114,1,,,,,
134329,-459.9999983,0.680549569,0.93307654,114,1,,,,,
134339,-459.9999983,0.68054955,0.933075619,114,1,,,,,
134330,-459.9999982,0.680549551,0.93307327,114,1,,,,,
134311,-459.9999982,0.680549558,0.933075167,114,1,,,,,
134319,-459.9999982,0.68054955,0.933070768,114,1,,,,,
134323,-459.9999982,0.680549554,0.933076374,114,1,,,,,
134323,-459.9999982,0.680549566,0.933066273,114,1,,,,,
134328,-459.9999982,0.680549548,0.933060626,114,1,,,,,
134331,-459.9999981,0.680550451,0.933061637,114,1,,,,,
134327,-459.9999981,0.680550362,0.933062368,114,1,,,,,
134331,-459.9999981,0.68054956,0.933067968,114,1,,,,,
134313,-459.9999981,0.680550437,0.933062518,114,1,,,,,
134335,-459.9999981,0.680550453,0.933068636,114,1,,,,,
134333,-459.9999981,0.680550418,0.93307123,114,1,,,,,
134313,-459.9999981,0.680547804,0.933076719,114,1,,,,,
134317,-459.9999981,0.680550458,0.933064612,114,1,,,,,
134328,-459.9999981,0.680547796,0.933062997,114,1,,,,,
134314,-459.999998,0.680547833,0.933070603,114,1,,,,,
134337,-459.999998,0.680547796,0.933063375,114,1,,,,,
134320,-459.999998,0.680550346,0.933069406,114,1,,,,,
134326,-459.999998,0.680547833,0.933075146,114,1,,,,,
134328,-459.999998,0.680547787,0.933064069,114,1,,,,,
134324,-459.999998,0.680550433,0.933077641,114,1,,,,,
134312,-459.999998,0.680550345,0.933072838,114,1,,,,,
134313,-459.999998,0.680550436,0.933076279,114,1,,,,,
134310,-459.999998,0.68055044,0.93307443,114,1,,,,,
134325,-459.999998,0.680547833,0.9330757,114,1,,,,,
134324,-459.999998,0.680550339,0.933062574,114,1,,,,,
134311,-459.999998,0.680550348,0.933064645,114,1,,,,,
134314,-459.999998,0.680547816,0.933078732,114,1,,,,,
134321,-459.999998,0.680547805,0.933078263,114,1,,,,,
134309,-459.999998,0.680550326,0.933067882,114,1,,,,,
134336,-459.999998,0.680550456,0.933069748,114,1,,,,,
134312,-459.999998,0.680550385,0.933077078,114,1,,,,,
134329,-459.999998,0.680550451,0.933078181,114,1,,,,,
134333,-459.9999979,0.680550436,0.9330619,114,1,,,,,
134316,-459.9999979,0.680547841,0.93307306,114,1,,,,,
134326,-459.9999979,0.680550441,0.93306767,114,1,,,,,
134323,-459.9999979,0.680547786,0.933076986,114,1,,,,,
134335,-459.9999979,0.680547779,0.933073341,114,1,,,,,
134316,-459.9999979,0.680547779,0.933069614,114,1,,,,,
134321,-459.9999979,0.680550363,0.933071423,114,1,,,,,
134311,-459.9999979,0.680550458,0.933069682,114,1,,,,,
134328,-459.9999979,0.680550348,0.933063807,114,1,,,,,
134331,-459.9999979,0.68055034,0.933072453,114,1,,,,,
134312,-459.9999979,0.680550326,0.93306515,114,1,,,,,
134313,-459.9999979,0.680550438,0.933070226,114,1,,,,,
134330,-459.9999979,0.680547785,0.933070723,114,1,,,,,
134314,-459.9999979,0.680547825,0.933078397,114,1,,,,,
134320,-459.9999979,0.680547781,0.933064199,114,1,,,,,
134316,-459.9999979,0.680547775,0.933076113,114,1,,,,,
134335,-459.9999979,0.680547843,0.933062105,114,1,,,,,
134336,-459.9999979,0.680550324,0.933072234,114,1,,,,,
134311,-459.9999979,0.680550449,0.933075526,114,1,,,,,
134316,-459.9999979,0.680550319,0.933071937,114,1,,,,,
134214,-459.9999979,0.680543315,0.933069784,114,1,,,,,
134334,-459.9999979,0.680547824,0.933076436,114,1,,,,,
134336,-459.9999979,0.68055044,0.933077144,114,1,,,,,
134323,-459.9999979,0.680550375,0.933077103,114,1,,,,,
134324,-459.9999979,0.680550365,0.933060562,114,1,,,,,
134312,-459.9999979,0.680547845,0.93307648,114,1,,,,,
134331,-459.9999979,0.680550414,0.933066906,114,1,,,,,
134326,-459.9999979,0.680550435,0.933077845,114,1,,,,,
134312,-459.9999979,0.680550418,0.933074919,114,1,,,,,
134309,-459.9999979,0.68055032,0.933071426,114,1,,,,,
134322,-459.9999979,0.680550458,0.933076706,114,1,,,,,
134338,-459.9999979,0.680547834,0.933065404,114,1,,,,,
134329,-459.9999979,0.680547797,0.933060096,114,1,,,,,
134316,-459.9999979,0.680547819,0.933069074,114,1,,,,,
134332,-459.9999979,0.680550413,0.933068463,114,1,,,,,
134324,-459.9999979,0.680550375,0.933066773,114,1,,,,,
134334,-459.9999979,0.680547792,0.933062671,114,1,,,,,
134332,-459.9999979,0.680550421,0.933066454,114,1,,,,,
134310,-459.9999979,0.680550437,0.933075036,114,1,,,,,
134328,-459.9999979,0.680550359,0.93306109,114,1,,,,,
134316,-459.9999979,0.680550346,0.933075571,114,1,,,,,
134338,-459.9999979,0.680550326,0.933064572,114,1,,,,,
134327,-459.9999979,0.680549959,0.933066387,114,1,,,,,
134309,-459.9999979,0.680550339,0.933066264,114,1,,,,,
134320,-459.9999979,0.680550364,0.933062354,114,1,,,,,
134335,-459.9999979,0.680544775,0.933060627,114,1,,,,,
134322,-459.9999979,0.680547805,0.933075705,114,1,,,,,
134188,-459.9999979,0.680543284,0.933069882,114,1,,,,,
134327,-459.9999979,0.680550375,0.933063694,114,1,,,,,
134331,-459.9999978,0.680550333,0.933071134,114,1,,,,,
134321,-459.9999978,0.680550345,0.933064837,114,1,,,,,
134331,-459.9999978,0.680550375,0.933066967,114,1,,,,,
134329,-459.9999978,0.680550407,0.933062945,114,1,,,,,
134327,-459.9999978,0.680550437,0.93306014,114,1,,,,,
134318,-459.9999978,0.680550413,0.933071042,114,1,,,,,
134336,-459.9999978,0.680547777,0.933060651,114,1,,,,,
134335,-459.9999978,0.680550316,0.933072801,114,1,,,,,
134330,-459.9999978,0.680550414,0.933063666,114,1,,,,,
134338,-459.9999978,0.680550327,0.933070195,114,1,,,,,
134309,-459.9999978,0.680550448,0.933079301,114,1,,,,,
134324,-459.9999978,0.680550402,0.933078757,114,1,,,,,
134311,-459.9999978,0.680547779,0.933071832,114,1,,,,,
134328,-459.9999978,0.680550362,0.933069596,114,1,,,,,
134316,-459.9999978,0.6805478,0.933070113,114,1,,,,,
134321,-459.9999978,0.680550374,0.933062124,114,1,,,,,
134314,-459.9999978,0.680550364,0.933069579,114,1,,,,,
134318,-459.9999978,0.68055045,0.93307187,114,1,,,,,
134330,-459.9999978,0.68054478,0.933067767,114,1,,,,,
134332,-459.9999978,0.680550344,0.933062791,114,1,,,,,
134335,-459.9999978,0.680547793,0.93306565,114,1,,,,,
134310,-459.9999978,0.680544779,0.933066051,114,1,,,,,
134338,-459.9999978,0.680547838,0.933065304,114,1,,,,,
134337,-459.9999978,0.680547781,0.933066888,114,1,,,,,
134326,-459.9999978,0.680550458,0.933071883,114,1,,,,,
134334,-459.9999978,0.680550393,0.933064191,114,1,,,,,
134313,-459.9999978,0.680550429,0.933065583,114,1,,,,,
134322,-459.9999978,0.680550338,0.93306193,114,1,,,,,
134332,-459.9999978,0.680550433,0.933071385,114,1,,,,,
134326,-459.9999978,0.680547854,0.93306962,114,1,,,,,
134328,-459.9999978,0.680550323,0.933070449,114,1,,,,,
134313,-459.9999978,0.680550365,0.933061347,114,1,,,,,
134338,-459.9999978,0.680547804,0.933063604,114,1,,,,,
134339,-459.9999978,0.680547811,0.933077645,114,1,,,,,
134189,-459.9999978,0.680543323,0.933069933,114,1,,,,,
134327,-459.9999978,0.680550441,0.933065374,114,1,,,,,
134310,-459.9999978,0.680550336,0.933060528,114,1,,,,,
134316,-459.9999978,0.680550351,0.933066223,114,1,,,,,
134319,-459.9999978,0.680550294,0.933079248,114,1,,,,,
134332,-459.9999978,0.680547808,0.933063467,114,1,,,,,
134310,-459.9999978,0.680547786,0.933065214,114,1,,,,,
134310,-459.9999978,0.680550522,0.933073274,114,1,,,,,
134315,-459.9999978,0.680550327,0.933061473,114,1,,,,,
134318,-459.9999978,0.680550449,0.933072014,114,1,,,,,
134203,-459.9999978,0.68054333,0.933069814,114,1,,,,,
134325,-459.9999978,0.680547773,0.933076402,114,1,,,,,
134335,-459.9999978,0.68054786,0.933072769,114,1,,,,,
134317,-459.9999978,0.680547818,0.933076824,114,1,,,,,
134318,-459.9999978,0.680547803,0.933069342,114,1,,,,,
134333,-459.9999978,0.680550388,0.933063384,114,1,,,,,
134325,-459.9999978,0.680547853,0.933060332,114,1,,,,,
134329,-459.9999978,0.680550435,0.93307713,114,1,,,,,
134337,-459.9999978,0.680550284,0.933077275,114,1,,,,,
134317,-459.9999978,0.680550429,0.93306941,114,1,,,,,
134340,-459.9999978,0.680550413,0.933077052,114,1,,,,,
134323,-459.9999978,0.680547798,0.933077916,114,1,,,,,
134329,-459.9999978,0.680547798,0.933066237,114,1,,,,,
134327,-459.9999978,0.680550384,0.933072027,114,1,,,,,
134189,-459.9999978,0.680543336,0.933069766,114,1,,,,,
134339,-459.9999978,0.680544745,0.933074552,114,1,,,,,
134327,-459.9999978,0.680550347,0.933060114,114,1,,,,,
134339,-459.9999978,0.680547851,0.933061074,114,1,,,,,
134340,-459.9999978,0.680550345,0.9330722,114,1,,,,,
134314,-459.9999978,0.680550458,0.933077285,114,1,,,,,
134311,-459.9999978,0.680550326,0.933063528,114,1,,,,,
134330,-459.9999978,0.680550331,0.933077032,114,1,,,,,
134330,-459.9999978,0.68055045,0.933061256,114,1,,,,,
134316,-459.9999978,0.680550378,0.933061038,114,1,,,,,
134314,-459.9999978,0.680547778,0.933073554,114,1,,,,,
134327,-459.9999978,0.680547838,0.9330775,114,1,,,,,
134334,-459.9999978,0.680547815,0.933061962,114,1,,,,,
134322,-459.9999978,0.680547586,0.933061911,114,1,,,,,
134207,-459.9999978,0.680543325,0.933069796,114,1,,,,,
134338,-459.9999978,0.680550394,0.933073988,114,1,,,,,
134309,-459.9999978,0.680550325,0.933075032,114,1,,,,,
134322,-459.9999978,0.680550344,0.933071329,114,1,,,,,
134326,-459.9999978,0.680550327,0.933067925,114,1,,,,,
134310,-459.9999978,0.680550231,0.933067788,114,1,,,,,
134329,-459.9999978,0.680550409,0.933069493,114,1,,,,,
134322,-459.9999978,0.680550313,0.933073716,114,1,,,,,
134340,-459.9999978,0.68055045,0.933074427,114,1,,,,,
134335,-459.9999978,0.680547813,0.93307348,114,1,,,,,
134339,-459.9999978,0.680550324,0.933060335,114,1,,,,,
134321,-459.9999977,0.680550332,0.933065166,114,1,,,,,
134311,-459.9999977,0.680547798,0.933064518,114,1,,,,,
134328,-459.9999977,0.680544767,0.933074901,114,1,,,,,
134332,-459.9999977,0.680547846,0.93306355,114,1,,,,,
134321,-459.9999977,0.680550347,0.933067781,114,1,,,,,
134336,-459.9999977,0.680550365,0.933070909,114,1,,,,,
134325,-459.9999977,0.680544757,0.933063716,114,1,,,,,
134339,-459.9999977,0.680547856,0.93306953,114,1,,,,,
134311,-459.9999977,0.680544745,0.933065021,114,1,,,,,
134311,-459.9999977,0.680549959,0.933063572,114,1,,,,,
