process,ans,r,lambda,epoch,n133803,-459.9999903,0.68054255,0.933070406,114,1
133817,-459.9999976,0.680543291,0.933070064,114,1,,,,,
133810,-459.9999976,0.680543166,0.933070628,114,1,,,,,
133810,-459.9999975,0.680543231,0.93307109,114,1,,,,,
133803,-459.9999975,0.680543244,0.933070949,114,1,,,,,
133827,-459.9999975,0.680543282,0.933069804,114,1,,,,,
133818,-459.9999975,0.6805433,0.933069942,114,1,,,,,
133825,-459.9999975,0.680543296,0.933071097,114,1,,,,,
133816,-459.9999975,0.680543166,0.933070938,114,1,,,,,
133815,-459.9999974,0.680543329,0.933070749,114,1,,,,,
133799,-459.9999974,0.68054326,0.933070482,114,1,,,,,
133806,-459.9999974,0.680543301,0.93307087,114,1,,,,,
133796,-459.9999974,0.680543267,0.933069717,114,1,,,,,
133801,-459.9999974,0.680543221,0.933069534,114,1,,,,,
133808,-459.9999974,0.680543326,0.93306951,114,1,,,,,
133814,-459.9999974,0.680543322,0.933070517,114,1,,,,,
133818,-459.9999973,0.680543156,0.933071277,114,1,,,,,
133810,-459.9999973,0.680543272,0.933070772,114,1,,,,,
133823,-459.9999973,0.680543324,0.933071239,114,1,,,,,
133826,-459.9999973,0.680543141,0.933069899,114,1,,,,,
133798,-459.9999973,0.680542801,0.933070143,114,1,,,,,
133809,-459.9999973,0.680543283,0.933070221,114,1,,,,,
133818,-459.9999973,0.680542745,0.933070852,114,1,,,,,
133802,-459.9999973,0.680542738,0.933070162,114,1,,,,,
133805,-459.9999973,0.680543223,0.933069651,114,1,,,,,
133824,-459.9999973,0.680543162,0.933070415,114,1,,,,,
133827,-459.9999973,0.680543257,0.933070694,114,1,,,,,
133801,-459.9999973,0.680543172,0.933071146,114,1,,,,,
133811,-459.9999973,0.68054324,0.933069874,114,1,,,,,
133816,-459.9999973,0.680543174,0.933069893,114,1,,,,,
133800,-459.9999973,0.680542838,0.933069991,114,1,,,,,
133825,-459.9999972,0.680543215,0.933070075,114,1,,,,,
133808,-459.9999972,0.680543272,0.933070345,114,1,,,,,
133816,-459.9999972,0.680543272,0.933070018,114,1,,,,,
133800,-459.9999972,0.680543157,0.933069411,114,1,,,,,
133823,-459.9999972,0.680542783,0.933069826,114,1,,,,,
133808,-459.9999972,0.680543152,0.933070501,114,1,,,,,
133800,-459.9999972,0.680543182,0.933070152,114,1,,,,,
133806,-459.9999972,0.680542779,0.933071349,114,1,,,,,
133803,-459.9999972,0.680542852,0.933071237,114,1,,,,,
133821,-459.9999972,0.680543265,0.933071178,114,1,,,,,
133800,-459.9999972,0.680543314,0.933069489,114,1,,,,,
133819,-459.9999972,0.680543146,0.933069817,114,1,,,,,
133805,-459.9999972,0.680542764,0.933070238,114,1,,,,,
133811,-459.9999972,0.680543149,0.933071146,114,1,,,,,
133825,-459.9999972,0.680543142,0.933069725,114,1,,,,,
133814,-459.9999972,0.680543209,0.93307094,114,1,,,,,
133821,-459.9999972,0.680543264,0.933069646,114,1,,,,,
133803,-459.9999972,0.680543323,0.933070762,114,1,,,,,
133806,-459.9999972,0.68054326,0.933069755,114,1,,,,,
133809,-459.9999972,0.680542768,0.933069391,114,1,,,,,
133796,-459.9999971,0.680543237,0.933070342,114,1,,,,,
133811,-459.9999971,0.680543235,0.933069474,114,1,,,,,
133816,-459.9999971,0.680542736,0.933071221,114,1,,,,,
133824,-459.9999971,0.680543253,0.933069934,114,1,,,,,
133812,-459.9999971,0.680542774,0.933069984,114,1,,,,,
133799,-459.9999971,0.680543296,0.933071206,114,1,,,,,
133822,-459.9999971,0.680543311,0.933069979,114,1,,,,,
133797,-459.9999971,0.680543227,0.933070975,114,1,,,,,
133827,-459.9999971,0.680542758,0.933070208,114,1,,,,,
133797,-459.9999971,0.680543047,0.933070509,114,1,,,,,
133821,-459.9999971,0.680543287,0.933070859,114,1,,,,,
133825,-459.9999971,0.680543162,0.933070809,114,1,,,,,
133819,-459.9999971,0.680543243,0.933069394,114,1,,,,,
133811,-459.9999971,0.680542864,0.933069652,114,1,,,,,
133808,-459.9999971,0.680542791,0.933070264,114,1,,,,,
133819,-459.9999971,0.680543163,0.933070929,114,1,,,,,
133802,-459.9999971,0.680543007,0.933069367,114,1,,,,,
133826,-459.9999971,0.680543302,0.933070688,114,1,,,,,
133813,-459.9999971,0.680543304,0.933069547,114,1,,,,,
133804,-459.9999971,0.68054331,0.933070012,114,1,,,,,
133808,-459.9999971,0.680542758,0.933071247,114,1,,,,,
133820,-459.9999971,0.680542801,0.933070389,114,1,,,,,
133814,-459.9999971,0.6805432,0.933070176,114,1,,,,,
133806,-459.9999971,0.680543182,0.933070394,114,1,,,,,
133817,-459.999997,0.680543145,0.93306979,114,1,,,,,
133808,-459.999997,0.680543255,0.933069681,114,1,,,,,
133826,-459.999997,0.680543148,0.933069397,114,1,,,,,
133808,-459.999997,0.680543253,0.933069588,114,1,,,,,
133800,-459.999997,0.680543284,0.933070816,114,1,,,,,
133824,-459.999997,0.680543233,0.933070723,114,1,,,,,
133798,-459.999997,0.680542748,0.933070396,114,1,,,,,
133825,-459.999997,0.680542741,0.933070631,114,1,,,,,
133823,-459.999997,0.680542893,0.93307092,114,1,,,,,
133819,-459.999997,0.680542862,0.933070611,114,1,,,,,
133799,-459.999997,0.680542865,0.933070485,114,1,,,,,
133808,-459.999997,0.680542775,0.933069536,114,1,,,,,
133811,-459.999997,0.680543005,0.933069496,114,1,,,,,
133810,-459.999997,0.680542844,0.933070862,114,1,,,,,
133824,-459.999997,0.680542876,0.933071197,114,1,,,,,
133819,-459.999997,0.68054278,0.933070192,114,1,,,,,
133807,-459.9999969,0.68054282,0.933070295,114,1,,,,,
133808,-459.9999969,0.680543226,0.933070356,114,1,,,,,
133806,-459.9999969,0.680543284,0.933069515,114,1,,,,,
133825,-459.9999969,0.680543115,0.933071244,114,1,,,,,
