process,ans,r,lambda,epoch,n133230,-459.9999888,0.680544268,0.933075848,114,1
133306,-459.9999928,0.680542606,0.933078481,114,1,,,,,
133294,-459.9999928,0.680544216,0.933077746,114,1,,,,,
133293,-459.9999927,0.680542619,0.933072419,114,1,,,,,
133282,-459.9999927,0.680542529,0.933079053,114,1,,,,,
133293,-459.9999926,0.680542506,0.933074859,114,1,,,,,
133307,-459.9999925,0.680542672,0.933073235,114,1,,,,,
133291,-459.9999925,0.680542678,0.933075804,114,1,,,,,
133293,-459.9999924,0.680542699,0.933075218,114,1,,,,,
133308,-459.9999924,0.680538401,0.933071978,114,1,,,,,
133292,-459.9999924,0.680542634,0.933077959,114,1,,,,,
133305,-459.9999923,0.680538273,0.933072288,114,1,,,,,
133291,-459.9999922,0.680542389,0.933070568,114,1,,,,,
133313,-459.9999922,0.680540283,0.933070554,114,1,,,,,
133293,-459.9999922,0.680540251,0.933071124,114,1,,,,,
133303,-459.9999919,0.680540335,0.933070809,114,1,,,,,
133285,-459.9999918,0.680542544,0.933077761,114,1,,,,,
133295,-459.9999918,0.680544187,0.933076241,114,1,,,,,
133294,-459.9999918,0.680544251,0.933078013,114,1,,,,,
133285,-459.9999918,0.680542708,0.933074518,114,1,,,,,
133301,-459.9999918,0.68054264,0.93307685,114,1,,,,,
133310,-459.9999917,0.680540269,0.933073234,114,1,,,,,
133297,-459.9999917,0.680540345,0.933075959,114,1,,,,,
133311,-459.9999917,0.680542548,0.933075121,114,1,,,,,
133282,-459.9999917,0.68054443,0.933075514,114,1,,,,,
133285,-459.9999917,0.680544101,0.933076133,114,1,,,,,
133305,-459.9999916,0.680540234,0.933072018,114,1,,,,,
133301,-459.9999916,0.680544093,0.933071832,114,1,,,,,
133283,-459.9999915,0.680544418,0.933074018,114,1,,,,,
133295,-459.9999915,0.680542534,0.933073423,114,1,,,,,
133309,-459.9999915,0.680542614,0.933075848,114,1,,,,,
133300,-459.9999915,0.680537838,0.933077361,114,1,,,,,
133302,-459.9999914,0.680544383,0.933076792,114,1,,,,,
133291,-459.9999914,0.680544164,0.93307559,114,1,,,,,
133304,-459.9999914,0.680544178,0.933072102,114,1,,,,,
133286,-459.9999913,0.680540369,0.93306976,114,1,,,,,
133296,-459.9999913,0.680544308,0.933076614,114,1,,,,,
133306,-459.9999913,0.680542518,0.933078379,114,1,,,,,
133293,-459.9999913,0.680542124,0.933072403,114,1,,,,,
133282,-459.9999913,0.68054036,0.93307887,114,1,,,,,
133296,-459.9999912,0.680540253,0.933069743,114,1,,,,,
133284,-459.9999912,0.680544312,0.933071182,114,1,,,,,
133309,-459.9999912,0.680542051,0.933070055,114,1,,,,,
133309,-459.9999911,0.680542016,0.933071112,114,1,,,,,
133282,-459.9999911,0.68054211,0.933076552,114,1,,,,,
133309,-459.9999911,0.680544129,0.933079174,114,1,,,,,
133311,-459.999991,0.680544158,0.933075103,114,1,,,,,
133284,-459.999991,0.680541878,0.933078958,114,1,,,,,
133313,-459.999991,0.680542023,0.933077919,114,1,,,,,
133289,-459.9999909,0.680542126,0.93307631,114,1,,,,,
133297,-459.9999909,0.680542231,0.933072328,114,1,,,,,
133287,-459.9999909,0.68054233,0.933077231,114,1,,,,,
133309,-459.9999909,0.680542018,0.93307504,114,1,,,,,
133296,-459.9999908,0.680537825,0.933077439,114,1,,,,,
133295,-459.9999907,0.68054224,0.933073874,114,1,,,,,
133282,-459.9999907,0.680544348,0.933077018,114,1,,,,,
133305,-459.9999907,0.680544176,0.933075137,114,1,,,,,
133310,-459.9999907,0.680544127,0.933070862,114,1,,,,,
133301,-459.9999906,0.680544426,0.933069955,114,1,,,,,
133308,-459.9999906,0.680542071,0.933073245,114,1,,,,,
133229,-459.9999906,0.680541983,0.933079359,114,1,,,,,
