process,ans,r,lambda,epoch,n133803,-459.9999903,0.68054255,0.933070406,114,1
134214,-459.9999979,0.680543315,0.933069784,114,1,,,,,
134188,-459.9999979,0.680543284,0.933069882,114,1,,,,,
134189,-459.9999978,0.680543323,0.933069933,114,1,,,,,
134203,-459.9999978,0.68054333,0.933069814,114,1,,,,,
134189,-459.9999978,0.680543336,0.933069766,114,1,,,,,
134207,-459.9999978,0.680543325,0.933069796,114,1,,,,,
134194,-459.9999977,0.680543336,0.933069753,114,1,,,,,
134201,-459.9999977,0.680543262,0.9330698,114,1,,,,,
134189,-459.9999977,0.68054333,0.933069893,114,1,,,,,
134214,-459.9999977,0.680543325,0.933069862,114,1,,,,,
134190,-459.9999977,0.680543284,0.93306987,114,1,,,,,
134205,-459.9999977,0.680543322,0.93306993,114,1,,,,,
134209,-459.9999977,0.680543338,0.933069807,114,1,,,,,
134215,-459.9999977,0.680543323,0.933069871,114,1,,,,,
134200,-459.9999977,0.680543328,0.933069795,114,1,,,,,
134200,-459.9999977,0.680543304,0.933069916,114,1,,,,,
134214,-459.9999976,0.680543266,0.933069775,114,1,,,,,
134184,-459.9999976,0.680543319,0.933069865,114,1,,,,,
134201,-459.9999976,0.680543267,0.933069765,114,1,,,,,
134195,-459.9999976,0.680543326,0.933069917,114,1,,,,,
134203,-459.9999976,0.68054333,0.933069885,114,1,,,,,
133823,-459.9999976,0.680543293,0.933069843,114,1,,,,,
134210,-459.9999976,0.680543231,0.933069868,114,1,,,,,
134190,-459.9999976,0.68054321,0.933069903,114,1,,,,,
134199,-459.9999976,0.680543243,0.933069851,114,1,,,,,
134207,-459.9999976,0.680543248,0.933069838,114,1,,,,,
134212,-459.9999976,0.680543336,0.933069924,114,1,,,,,
134208,-459.9999976,0.680543193,0.933069914,114,1,,,,,
134202,-459.9999976,0.680543211,0.933069885,114,1,,,,,
134184,-459.9999976,0.6805433,0.933069771,114,1,,,,,
134187,-459.9999976,0.680543294,0.933069841,114,1,,,,,
133817,-459.9999976,0.680543291,0.933070064,114,1,,,,,
134193,-459.9999976,0.680543324,0.933069833,114,1,,,,,
134212,-459.9999976,0.680543266,0.933069746,114,1,,,,,
134190,-459.9999976,0.680543272,0.933069773,114,1,,,,,
133810,-459.9999976,0.680543166,0.933070628,114,1,,,,,
134204,-459.9999976,0.680543228,0.933069837,114,1,,,,,
134199,-459.9999976,0.680543231,0.933069788,114,1,,,,,
134204,-459.9999976,0.680543231,0.933069856,114,1,,,,,
134197,-459.9999976,0.680543266,0.933069941,114,1,,,,,
134192,-459.9999975,0.680543263,0.933069938,114,1,,,,,
134190,-459.9999975,0.680543266,0.933069764,114,1,,,,,
133810,-459.9999975,0.680543231,0.93307109,114,1,,,,,
134199,-459.9999975,0.680543261,0.933069784,114,1,,,,,
134212,-459.9999975,0.68054332,0.933069862,114,1,,,,,
134193,-459.9999975,0.680543268,0.933069787,114,1,,,,,
134211,-459.9999975,0.680543267,0.933069746,114,1,,,,,
134213,-459.9999975,0.680543266,0.933069802,114,1,,,,,
134195,-459.9999975,0.680543342,0.933069804,114,1,,,,,
134200,-459.9999975,0.680543273,0.933069773,114,1,,,,,
133798,-459.9999975,0.68054331,0.93307086,114,1,,,,,
134203,-459.9999975,0.680543196,0.933069913,114,1,,,,,
134212,-459.9999975,0.680543315,0.933069849,114,1,,,,,
134184,-459.9999975,0.68054327,0.933069814,114,1,,,,,
133803,-459.9999975,0.680543244,0.933070949,114,1,,,,,
134200,-459.9999975,0.680543323,0.933069791,114,1,,,,,
134187,-459.9999975,0.680543218,0.933069913,114,1,,,,,
133827,-459.9999975,0.680543282,0.933069804,114,1,,,,,
134204,-459.9999975,0.680543231,0.933069854,114,1,,,,,
134190,-459.9999975,0.680543329,0.933069793,114,1,,,,,
134191,-459.9999975,0.68054321,0.933069821,114,1,,,,,
134212,-459.9999975,0.680543232,0.933069799,114,1,,,,,
134184,-459.9999975,0.680543336,0.933069769,114,1,,,,,
134190,-459.9999975,0.680543338,0.933069866,114,1,,,,,
134201,-459.9999975,0.680543243,0.93306993,114,1,,,,,
134202,-459.9999975,0.680543269,0.933069787,114,1,,,,,
133818,-459.9999975,0.6805433,0.933069942,114,1,,,,,
134214,-459.9999975,0.68054326,0.933069877,114,1,,,,,
134197,-459.9999975,0.680543241,0.933069887,114,1,,,,,
134200,-459.9999975,0.6805433,0.933069748,114,1,,,,,
134212,-459.9999975,0.680543284,0.933069872,114,1,,,,,
134213,-459.9999975,0.680543244,0.933069889,114,1,,,,,
134204,-459.9999975,0.680543335,0.933069747,114,1,,,,,
134206,-459.9999975,0.680543288,0.93306989,114,1,,,,,
134195,-459.9999975,0.680543333,0.933069827,114,1,,,,,
133825,-459.9999975,0.680543296,0.933071097,114,1,,,,,
134188,-459.9999975,0.680543271,0.933069826,114,1,,,,,
134194,-459.9999975,0.68054326,0.933069933,114,1,,,,,
134196,-459.9999975,0.680543232,0.933069878,114,1,,,,,
134189,-459.9999975,0.680543266,0.933069927,114,1,,,,,
134204,-459.9999975,0.680543248,0.933069786,114,1,,,,,
134200,-459.9999975,0.680543205,0.933069855,114,1,,,,,
134187,-459.9999975,0.680543245,0.93306985,114,1,,,,,
134187,-459.9999975,0.680543269,0.933069781,114,1,,,,,
133816,-459.9999975,0.680543166,0.933070938,114,1,,,,,
134213,-459.9999974,0.680543241,0.93306992,114,1,,,,,
134206,-459.9999974,0.680543324,0.933069938,114,1,,,,,
134184,-459.9999974,0.680543335,0.933069908,114,1,,,,,
134185,-459.9999974,0.680543328,0.933069904,114,1,,,,,
134196,-459.9999974,0.680543313,0.933069864,114,1,,,,,
134208,-459.9999974,0.68054321,0.933069821,114,1,,,,,
134205,-459.9999974,0.68054321,0.933069931,114,1,,,,,
134186,-459.9999974,0.68054333,0.933069756,114,1,,,,,
134206,-459.9999974,0.680543255,0.933069823,114,1,,,,,
134192,-459.9999974,0.680543334,0.933069802,114,1,,,,,
134194,-459.9999974,0.680543273,0.933069818,114,1,,,,,
134187,-459.9999974,0.680543211,0.933069943,114,1,,,,,
134188,-459.9999974,0.680543213,0.933069908,114,1,,,,,
134211,-459.9999974,0.680543326,0.933069901,114,1,,,,,
134213,-459.9999974,0.680543272,0.933069762,114,1,,,,,
134199,-459.9999974,0.68054325,0.933069834,114,1,,,,,
134186,-459.9999974,0.680543267,0.933069855,114,1,,,,,
134188,-459.9999974,0.680543279,0.933069788,114,1,,,,,
133815,-459.9999974,0.680543329,0.933070749,114,1,,,,,
134198,-459.9999974,0.680543248,0.933069916,114,1,,,,,
134192,-459.9999974,0.680543258,0.93306985,114,1,,,,,
134198,-459.9999974,0.680543316,0.933069935,114,1,,,,,
134207,-459.9999974,0.680543264,0.933069939,114,1,,,,,
134185,-459.9999974,0.680543333,0.933069845,114,1,,,,,
134196,-459.9999974,0.680543335,0.933069922,114,1,,,,,
134184,-459.9999974,0.680543324,0.933069808,114,1,,,,,
134194,-459.9999974,0.680543341,0.933069838,114,1,,,,,
134190,-459.9999974,0.680543315,0.933069816,114,1,,,,,
134193,-459.9999974,0.680543319,0.933069784,114,1,,,,,
134205,-459.9999974,0.680543251,0.9330698,114,1,,,,,
134185,-459.9999974,0.680543315,0.9330698,114,1,,,,,
134207,-459.9999974,0.680543228,0.933069757,114,1,,,,,
134190,-459.9999974,0.680543265,0.933069757,114,1,,,,,
134202,-459.9999974,0.680543244,0.933069916,114,1,,,,,
133799,-459.9999974,0.68054326,0.933070482,114,1,,,,,
134192,-459.9999974,0.680543279,0.933069756,114,1,,,,,
134192,-459.9999974,0.68054324,0.933069849,114,1,,,,,
134202,-459.9999974,0.680543334,0.933069837,114,1,,,,,
134188,-459.9999974,0.680543231,0.933069765,114,1,,,,,
134204,-459.9999974,0.680543333,0.933069783,114,1,,,,,
134189,-459.9999974,0.680543246,0.933069754,114,1,,,,,
134200,-459.9999974,0.680543246,0.933069891,114,1,,,,,
134195,-459.9999974,0.680543334,0.93306994,114,1,,,,,
134195,-459.9999974,0.680543271,0.933069783,114,1,,,,,
134193,-459.9999974,0.680543272,0.933069893,114,1,,,,,
133802,-459.9999974,0.680543272,0.933070894,114,1,,,,,
134208,-459.9999974,0.68054331,0.933069877,114,1,,,,,
134198,-459.9999974,0.680543267,0.93306983,114,1,,,,,
133806,-459.9999974,0.680543301,0.93307087,114,1,,,,,
134207,-459.9999974,0.680543272,0.933069758,114,1,,,,,
134201,-459.9999974,0.680543329,0.933069763,114,1,,,,,
134200,-459.9999974,0.680543262,0.933069879,114,1,,,,,
134184,-459.9999974,0.680543298,0.933069747,114,1,,,,,
134208,-459.9999974,0.680543266,0.933069794,114,1,,,,,
133796,-459.9999974,0.680543267,0.933069717,114,1,,,,,
134185,-459.9999974,0.680543323,0.933069885,114,1,,,,,
134189,-459.9999974,0.680543196,0.933069793,114,1,,,,,
134208,-459.9999974,0.680543215,0.933069915,114,1,,,,,
134213,-459.9999974,0.680543297,0.933069917,114,1,,,,,
134189,-459.9999974,0.680543328,0.933069752,114,1,,,,,
134190,-459.9999974,0.680543279,0.933069826,114,1,,,,,
133801,-459.9999974,0.680543221,0.933069534,114,1,,,,,
134210,-459.9999974,0.68054321,0.933069887,114,1,,,,,
134200,-459.9999974,0.680543261,0.933069888,114,1,,,,,
133808,-459.9999974,0.680543326,0.93306951,114,1,,,,,
134198,-459.9999974,0.680543241,0.933069777,114,1,,,,,
134202,-459.9999974,0.680543338,0.93306979,114,1,,,,,
134196,-459.9999974,0.680543267,0.933069786,114,1,,,,,
134190,-459.9999974,0.680543272,0.93306987,114,1,,,,,
134210,-459.9999974,0.680543312,0.933069887,114,1,,,,,
134190,-459.9999974,0.680543316,0.933069811,114,1,,,,,
134184,-459.9999974,0.680543294,0.933069785,114,1,,,,,
134207,-459.9999974,0.680543313,0.933069776,114,1,,,,,
134210,-459.9999974,0.680543249,0.933069915,114,1,,,,,
134196,-459.9999974,0.680543302,0.933069751,114,1,,,,,
134209,-459.9999974,0.68054328,0.933069825,114,1,,,,,
134210,-459.9999974,0.680543211,0.93306984,114,1,,,,,
133814,-459.9999974,0.680543322,0.933070517,114,1,,,,,
134193,-459.9999974,0.680543282,0.933069915,114,1,,,,,
134190,-459.9999974,0.68054328,0.933069753,114,1,,,,,
134195,-459.9999974,0.680543274,0.933069755,114,1,,,,,
134203,-459.9999974,0.680543232,0.933069863,114,1,,,,,
