6259,-459.9999772,0.680539401,0.933083853,114,1,,,,,
6258,-300.357853,0.680549202,0.933081299,114,1,,,,,
6263,-459.9999802,0.680534758,0.933083174,114,1,,,,,
6257,-459.999989,0.680537337,0.93306478,114,1,,,,,
6264,-300.357853,0.680549342,0.933071151,114,1,,,,,
6255,-459.999988,0.680541009,0.933067428,114,1,,,,,
6256,-459.9999465,0.680545367,0.933082717,114,1,,,,,
6262,-459.9999627,0.680545727,0.933077787,114,1,,,,,
6256,-459.9999867,0.680540857,0.933065311,114,1,,,,,
6260,-459.9999791,0.68053623,0.933077788,114,1,,,,,
6261,-459.9999918,0.680546932,0.933083452,114,1,,,,,
6262,-459.9999726,0.68054041,0.933079126,114,1,,,,,
6259,-300.357853,0.680549176,0.933078398,114,1,,,,,
6258,-300.357853,0.680534019,0.933071835,114,1,,,,,
6263,-459.9999795,0.680534746,0.933079882,114,1,,,,,
6257,10551.15306,0.680530076,0.933082654,114,1,,,,,
6264,-300.357853,0.680546189,0.933068258,114,1,,,,,
6255,-300.357853,0.680547232,0.933080291,114,1,,,,,
6256,-459.9999922,0.680542626,0.933071047,114,1,,,,,
6262,-459.9999775,0.680539798,0.933066156,114,1,,,,,
6260,-419.4473858,0.680531067,0.933067763,114,1,,,,,
6261,-300.357853,0.680549502,0.933071882,114,1,,,,,
6259,-300.357853,0.680548966,0.93308001,114,1,,,,,
6258,-459.9999631,0.68053532,0.933077369,114,1,,,,,
6263,-459.999828,0.680529952,0.933082935,114,1,,,,,
6257,-459.9999866,0.680539012,0.93307577,114,1,,,,,
6256,-459.9999775,0.680543853,0.933068746,114,1,,,,,
6264,-459.9999999,0.680532664,0.933081555,114,1,,,,,
6262,-459.9999917,0.680542233,0.933073695,114,1,,,,,
6255,-459.9999819,0.680534693,0.933069076,114,1,,,,,
6256,-459.9999971,0.680547588,0.933071844,114,1,,,,,
6262,-459.9999919,0.680540309,0.933081886,114,1,,,,,
6260,-419.1364662,0.680530678,0.933075975,114,1,,,,,
6261,-419.4216009,0.680532231,0.933079564,114,1,,,,,
6259,-459.9999625,0.680537766,0.933067347,114,1,,,,,
6263,-459.9999741,0.68054392,0.933066373,114,1,,,,,
6258,-459.9999899,0.68054122,0.933070148,114,1,,,,,
6257,-300.357853,0.680541356,0.93306544,114,1,,,,,
6264,-416.5133554,0.680533087,0.933075894,114,1,,,,,
6255,-459.9999963,0.680542952,0.933072551,114,1,,,,,
6256,-459.9999937,0.680542441,0.933064629,114,1,,,,,
6262,-459.9999975,0.680547776,0.933072651,114,1,,,,,
6260,-300.357853,0.680548428,0.933068616,114,1,,,,,
6261,-459.9999585,0.680536765,0.933076573,114,1,,,,,
6256,-459.9999814,0.680536457,0.933077434,114,1,,,,,
6259,-459.9999911,0.680544242,0.933072704,114,1,,,,,
6262,-459.9999593,0.680536799,0.933066238,114,1,,,,,
6258,-459.9999891,0.680542363,0.933082647,114,1,,,,,
6263,-419.4237853,0.680532605,0.933070076,114,1,,,,,
6257,-459.9999835,0.680536385,0.933080301,114,1,,,,,
6264,-459.9999753,0.680543799,0.933073211,114,1,,,,,
6255,-459.9997191,0.680547557,0.933072406,114,1,,,,,
6256,-459.9999975,0.680544771,0.933076865,114,1,,,,,
6262,-300.357853,0.680547581,0.933078552,114,1,,,,,
6260,-459.9999884,0.680539585,0.933069247,114,1,,,,,
6261,-459.9999809,0.680536224,0.933083849,114,1,,,,,
6259,-459.9999669,0.680543933,0.933081396,114,1,,,,,
6257,-459.9999808,0.680538092,0.933083334,114,1,,,,,
6264,-459.9999623,0.680545419,0.933083636,114,1,,,,,
6258,-300.357853,0.680546279,0.933070624,114,1,,,,,
6263,-300.357853,0.680546749,0.933073882,114,1,,,,,
6256,-459.9999708,0.680536955,0.933080276,114,1,,,,,
6255,-459.9999954,0.68054725,0.933065806,114,1,,,,,
6262,-300.357853,0.680533616,0.933071006,114,1,,,,,
6256,-459.9999881,0.680541819,0.933068259,114,1,,,,,
6262,-459.9999837,0.680537973,0.933071417,114,1,,,,,
6260,-419.4299989,0.680532141,0.933083347,114,1,,,,,
6261,-459.9999903,0.680544116,0.933066696,114,1,,,,,
6259,-459.9999572,0.680536054,0.933072372,114,1,,,,,
6257,-459.9999816,0.6805377,0.933080204,114,1,,,,,
6264,-459.9999663,0.680535917,0.93306889,114,1,,,,,
6258,-459.9999661,0.68053585,0.933084098,114,1,,,,,
6263,-459.9999922,0.68054434,0.933066756,114,1,,,,,
6255,-300.357853,0.680534175,0.933083437,114,1,,,,,
6256,-459.9999956,0.680538519,0.933082043,114,1,,,,,
6262,-459.9999709,0.680536959,0.933071338,114,1,,,,,
6261,-459.999986,0.680544836,0.933071354,114,1,,,,,
6260,-459.9999898,0.68054439,0.933076262,114,1,,,,,
6257,-459.9999973,0.680543196,0.933068555,114,1,,,,,
6264,-459.9999665,0.680539691,0.933073188,114,1,,,,,
6259,-419.4528406,0.680531833,0.933067968,114,1,,,,,
6258,-459.9999897,0.680537833,0.933078531,114,1,,,,,
6263,-417.2140469,0.680531704,0.933070016,114,1,,,,,
6256,-459.9999903,0.680542325,0.933068057,114,1,,,,,
6262,-459.999978,0.680535133,0.933067979,114,1,,,,,
6255,-459.9999872,0.680537314,0.933069519,114,1,,,,,
6256,-419.4520248,0.680531107,0.933077738,114,1,,,,,
6262,-300.357853,0.680548136,0.933068873,114,1,,,,,
6261,-459.9999987,0.680532693,0.933080389,114,1,,,,,
6260,-300.357853,0.680546284,0.933067848,114,1,,,,,
6257,-459.9999894,0.680542037,0.933075641,114,1,,,,,
6264,-459.9999794,0.680538171,0.933065757,114,1,,,,,
6259,-300.357853,0.680546839,0.933071962,114,1,,,,,
6258,-419.3712127,0.680531741,0.93308274,114,1,,,,,
6263,-459.9999807,0.680536509,0.93307057,114,1,,,,,
6255,-300.357853,0.680533285,0.933082768,114,1,,,,,
6256,-459.9999853,0.680538956,0.933076117,114,1,,,,,
6262,-459.9999907,0.680542365,0.933069188,114,1,,,,,
6261,-459.9999659,0.680536925,0.933069455,114,1,,,,,
6260,-459.9999745,0.680543894,0.933077599,114,1,,,,,
6256,-459.9999837,0.680539442,0.933080659,114,1,,,,,
6257,-419.4568815,0.680531763,0.933067558,114,1,,,,,
6262,-418.7570676,0.680530817,0.933074843,114,1,,,,,
6264,-419.0457434,0.68053281,0.933083261,114,1,,,,,
6258,-459.9999792,0.680543672,0.933071433,114,1,,,,,
6263,-459.9999824,0.68053468,0.933078734,114,1,,,,,
6259,-459.9999557,0.680545215,0.933075713,114,1,,,,,
6255,-459.9999952,0.68054728,0.93307879,114,1,,,,,
6256,-459.9999583,0.68053561,0.933077761,114,1,,,,,
6262,-459.9999176,0.680549777,0.933067696,114,1,,,,,
6260,-459.9999849,0.680539527,0.933076896,114,1,,,,,
6261,-459.9999726,0.680535097,0.933073836,114,1,,,,,
6257,-459.9999811,0.680536318,0.933072849,114,1,,,,,
6264,-459.9999734,0.680543417,0.933073593,114,1,,,,,
6258,-459.9996649,0.680549762,0.933072051,114,1,,,,,
6263,-459.9999592,0.680545122,0.933073233,114,1,,,,,
6259,-459.9999626,0.680545603,0.93307286,114,1,,,,,
6256,-300.357853,0.680549024,0.933077479,114,1,,,,,
6255,-459.9999876,0.68053957,0.93307315,114,1,,,,,
6262,-300.357853,0.680548428,0.933075781,114,1,,,,,
6260,-459.9999905,0.680544363,0.933068183,114,1,,,,,
6256,-459.9999782,0.680537732,0.933079774,114,1,,,,,
6261,-459.9999875,0.680539425,0.933068038,114,1,,,,,
6257,-459.9999525,0.680535777,0.933075864,114,1,,,,,
6264,-459.99998,0.680534627,0.933082809,114,1,,,,,
6258,-460,0.68053264,0.933071694,114,1,,,,,
6263,-459.9999563,0.680545417,0.933072058,114,1,,,,,
6259,-459.99998,0.680540122,0.933075748,114,1,,,,,
6262,-459.9999945,0.68054727,0.933073443,114,1,,,,,
6255,-300.357853,0.680533704,0.933074201,114,1,,,,,
6260,-300.357853,0.680548704,0.933082198,114,1,,,,,
6256,-459.9999811,0.680534221,0.933073313,114,1,,,,,
6261,-459.9999974,0.680543336,0.93308244,114,1,,,,,
6257,-459.9999974,0.680547604,0.933078055,114,1,,,,,
6264,-300.357853,0.680533453,0.93307577,114,1,,,,,
6260,-459.9999774,0.680539747,0.933074944,114,1,,,,,
6258,-459.9999838,0.680543747,0.933065679,114,1,,,,,
6263,-300.357853,0.680546136,0.933065176,114,1,,,,,
6259,-459.8916818,0.680547482,0.933070981,114,1,,,,,
6256,-459.9999873,0.68054189,0.93307248,114,1,,,,,
6262,-300.357853,0.680548044,0.933065995,114,1,,,,,
6255,-459.9999844,0.68053944,0.933064733,114,1,,,,,
6260,-459.9999851,0.680538907,0.933070883,114,1,,,,,
6256,-459.999995,0.68053856,0.933078596,114,1,,,,,
6261,-459.9999913,0.680540321,0.933072237,114,1,,,,,
6264,-419.4945686,0.680531939,0.933065736,114,1,,,,,
6257,-300.357853,0.680533867,0.933068468,114,1,,,,,
6258,-459.9999804,0.680538048,0.93308401,114,1,,,,,
6263,-459.9999705,0.680539766,0.933071444,114,1,,,,,
6259,-459.9999636,0.680536995,0.933080529,114,1,,,,,
6262,-419.4237791,0.680531847,0.933067527,114,1,,,,,
6260,-300.357853,0.680549611,0.933069281,114,1,,,,,
6255,-459.9999829,0.680544549,0.93307747,114,1,,,,,
6256,-459.9999794,0.680534721,0.933083467,114,1,,,,,
6261,-459.999986,0.680539601,0.933078194,114,1,,,,,
6260,-459.9999805,0.680538151,0.933079029,114,1,,,,,
6264,-419.3351067,0.680531477,0.933069551,114,1,,,,,
6257,-300.357853,0.680548045,0.933071242,114,1,,,,,
6256,-300.357853,0.680548301,0.93307843,114,1,,,,,
6258,-459.9999821,0.680538013,0.933072822,114,1,,,,,
6263,-418.927379,0.680530864,0.933071566,114,1,,,,,
6259,-300.357853,0.680548376,0.933076403,114,1,,,,,
6262,-459.9999876,0.680539093,0.93307286,114,1,,,,,
6255,-459.9999785,0.680537512,0.93307596,114,1,,,,,
6260,-300.357853,0.680534138,0.933081788,114,1,,,,,
6256,-459.9999886,0.680540986,0.933081991,114,1,,,,,
6261,-300.357853,0.680549415,0.933067204,114,1,,,,,
6264,-300.357853,0.680541352,0.933077661,114,1,,,,,
6257,-459.9999901,0.68054197,0.933082751,114,1,,,,,
6258,-300.357853,0.68053348,0.933070907,114,1,,,,,
6263,-419.4657837,0.680530971,0.933073796,114,1,,,,,
6260,-459.9999831,0.680543747,0.933080409,114,1,,,,,
6259,-459.9999865,0.680538935,0.933075736,114,1,,,,,
6262,-459.9999961,0.680543577,0.933065627,114,1,,,,,
6256,-459.9999885,0.680545023,0.933079853,114,1,,,,,
6255,-459.9999578,0.680536787,0.933069061,114,1,,,,,
6260,-300.357853,0.68054919,0.93306951,114,1,,,,,
6261,-459.9999828,0.680536328,0.933068268,114,1,,,,,
6256,-459.9999891,0.680544391,0.933072923,114,1,,,,,
6264,-459.9999575,0.680535914,0.933069049,114,1,,,,,
6257,-300.357853,0.680549469,0.933077901,114,1,,,,,
6258,-459.9999828,0.680540589,0.933068097,114,1,,,,,
6263,-460,0.680532971,0.933066952,114,1,,,,,
6262,-459.9999633,0.680535856,0.933068446,114,1,,,,,
6259,-459.9999928,0.680541674,0.933079096,114,1,,,,,
6255,-300.357853,0.680548304,0.933072301,114,1,,,,,
6260,-459.9999821,0.680534606,0.933078024,114,1,,,,,
6256,-459.999995,0.680538717,0.933070013,114,1,,,,,
6261,-459.9999795,0.680537692,0.933065674,114,1,,,,,
6264,-459.9999934,0.68053872,0.933070147,114,1,,,,,
6257,-300.357853,0.680546231,0.933071556,114,1,,,,,
6260,-300.357853,0.680533877,0.933073221,114,1,,,,,
6258,-300.357853,0.680533747,0.93306654,114,1,,,,,
6263,-419.3987075,0.680531637,0.933071883,114,1,,,,,
6262,-459.9999871,0.680540947,0.933067765,114,1,,,,,
6259,-459.9999753,0.68054392,0.933074358,114,1,,,,,
6256,-459.9999838,0.680534594,0.933066917,114,1,,,,,
6255,-459.9999849,0.68053899,0.933084362,114,1,,,,,
6260,-459.9999924,0.680544451,0.933069237,114,1,,,,,
6261,-459.9999935,0.680542487,0.933083264,114,1,,,,,
6256,-300.357853,0.68054883,0.933066432,114,1,,,,,
6264,-300.357853,0.680548269,0.933082839,114,1,,,,,
6257,-459.9999086,0.680549796,0.933064686,114,1,,,,,
6258,-459.999982,0.680534425,0.933081413,114,1,,,,,
6263,-459.9999499,0.680535629,0.933066995,114,1,,,,,
6262,-300.357853,0.680533764,0.93307273,114,1,,,,,
6259,-300.357853,0.680548968,0.933079685,114,1,,,,,
6260,-459.9999914,0.680540313,0.933070952,114,1,,,,,
6255,-300.357853,0.680546765,0.933083136,114,1,,,,,
6256,-419.4411449,0.680530803,0.933070113,114,1,,,,,
6261,-459.9999749,0.680543825,0.933079244,114,1,,,,,
6260,-459.9999643,0.680536999,0.933074351,114,1,,,,,
6264,-459.9999732,0.680544071,0.93308163,114,1,,,,,
6257,-459.9999933,0.680541675,0.933065684,114,1,,,,,
6256,-459.9999862,0.680544802,0.933071759,114,1,,,,,
6262,-459.9999716,0.680545681,0.933077415,114,1,,,,,
6258,-459.9999623,0.680541078,0.933079668,114,1,,,,,
6263,-300.357853,0.680548549,0.933082261,114,1,,,,,
6259,-300.357853,0.680533253,0.933078343,114,1,,,,,
6255,-300.357853,0.680546066,0.933068242,114,1,,,,,
6260,-459.9999934,0.680542609,0.933075325,114,1,,,,,
6256,-459.9999824,0.680536467,0.933079608,114,1,,,,,
6261,-459.9999774,0.68053622,0.933066485,114,1,,,,,
6264,-459.9999641,0.680535218,0.933069618,114,1,,,,,
6257,-459.9999641,0.680545804,0.933068106,114,1,,,,,
6262,-459.9999335,0.680545332,0.93307557,114,1,,,,,
6258,-300.357853,0.68054671,0.933073407,114,1,,,,,
6263,-459.9999939,0.680538333,0.933083944,114,1,,,,,
6260,-459.9999841,0.680539486,0.933066347,114,1,,,,,
6259,-459.9999934,0.680538328,0.933075634,114,1,,,,,
6256,-459.9999798,0.680534217,0.933065386,114,1,,,,,
6255,-459.999991,0.680547921,0.933071523,114,1,,,,,
6261,-459.9999595,0.680535333,0.933067996,114,1,,,,,
6260,-419.5140665,0.680532079,0.933069203,114,1,,,,,
6264,-419.4611294,0.680530199,0.933074835,114,1,,,,,
6257,-419.4728246,0.680530984,0.933081969,114,1,,,,,
6256,-459.9999974,0.680533108,0.933066307,114,1,,,,,
6262,-459.9999831,0.680537195,0.933072658,114,1,,,,,
6258,-459.9999597,0.680535953,0.933079792,114,1,,,,,
6263,-419.0189586,0.68053277,0.933068741,114,1,,,,,
6259,-419.4689272,0.680531572,0.933078842,114,1,,,,,
6255,-459.9999893,0.680542096,0.933073716,114,1,,,,,
6260,-419.1783841,0.68053142,0.933069552,114,1,,,,,
6256,-459.9999563,0.680541012,0.933080035,114,1,,,,,
6261,-459.9999815,0.680534338,0.933072406,114,1,,,,,
6264,-300.357853,0.680549636,0.933065489,114,1,,,,,
6257,-300.357853,0.680541403,0.933066857,114,1,,,,,
6260,-300.357853,0.680549543,0.933078602,114,1,,,,,
6262,-459.9999827,0.680537534,0.933069589,114,1,,,,,
6258,-300.357853,0.68054885,0.933067053,114,1,,,,,
6263,-459.9999506,0.680535421,0.933069247,114,1,,,,,
6259,-300.357853,0.680548941,0.933080878,114,1,,,,,
6256,-459.9999848,0.680540471,0.933068042,114,1,,,,,
6255,-459.999982,0.680534781,0.933080064,114,1,,,,,
6260,-459.9999442,0.680535794,0.933065478,114,1,,,,,
6261,-300.357853,0.680549233,0.93306888,114,1,,,,,
6264,-459.999978,0.680540135,0.933084339,114,1,,,,,
6256,-459.9999788,0.680536207,0.933068755,114,1,,,,,
6257,-300.357853,0.680549615,0.933081737,114,1,,,,,
6262,-459.9999939,0.680542698,0.933079607,114,1,,,,,
6258,-300.357853,0.68054898,0.933072528,114,1,,,,,
6263,-300.357853,0.680547529,0.933069989,114,1,,,,,
6259,-459.999985,0.680539513,0.933074804,114,1,,,,,
6260,-300.357853,0.680533706,0.933078737,114,1,,,,,
6255,-459.9999909,0.680542583,0.933072972,114,1,,,,,
6256,-459.9999903,0.680542079,0.933068799,114,1,,,,,
6261,-419.469281,0.680530687,0.933065661,114,1,,,,,
6264,-459.9999748,0.680543841,0.933082251,114,1,,,,,
6257,-459.9999831,0.680537924,0.933080155,114,1,,,,,
6260,-459.9999827,0.680544588,0.933076698,114,1,,,,,
6262,-459.9999748,0.680543443,0.933066747,114,1,,,,,
6256,-459.9999779,0.680534758,0.933070398,114,1,,,,,
6258,-300.357853,0.68054663,0.933069999,114,1,,,,,
6263,-459.9999888,0.680541887,0.933066475,114,1,,,,,
6259,-459.9999824,0.680539319,0.933081419,114,1,,,,,
6255,-300.357853,0.68054588,0.933079451,114,1,,,,,
6260,10278.03101,0.680530254,0.933084004,114,1,,,,,
6261,-300.357853,0.680533853,0.933081394,114,1,,,,,
6256,-459.9999898,0.680543396,0.933080085,114,1,,,,,
6264,-300.357853,0.680547995,0.93308117,114,1,,,,,
6257,-459.9999791,0.680536344,0.933079429,114,1,,,,,
6262,-459.9998048,0.680529934,0.933083369,114,1,,,,,
6263,-459.9999489,0.68053541,0.933070182,114,1,,,,,
6258,-300.357853,0.680546337,0.933080344,114,1,,,,,
6260,-300.357853,0.680546055,0.933068833,114,1,,,,,
6259,-459.9999775,0.680534757,0.933076129,114,1,,,,,
6256,-300.357853,0.680545893,0.933078144,114,1,,,,,
6255,-459.9998275,0.680529972,0.933071034,114,1,,,,,
6261,-459.9999696,0.680539926,0.933081704,114,1,,,,,
6264,-459.9998053,0.680529999,0.93308039,114,1,,,,,
6260,-459.9999865,0.68054093,0.933083544,114,1,,,,,
6257,-459.9999875,0.680541847,0.93308408,114,1,,,,,
6256,-419.4674898,0.680531743,0.933064768,114,1,,,,,
6262,-459.99998,0.680534807,0.933069663,114,1,,,,,
6258,-459.9999824,0.680540575,0.933074252,114,1,,,,,
6263,-300.357853,0.680547156,0.933076346,114,1,,,,,
6259,-300.357853,0.680548961,0.933083466,114,1,,,,,
6255,-459.9999921,0.680542389,0.933071535,114,1,,,,,
6260,-300.357853,0.680549164,0.933066235,114,1,,,,,
6256,-459.9999801,0.680536239,0.933069954,114,1,,,,,
6261,-459.9999914,0.680541195,0.933076284,114,1,,,,,
6264,-459.9999887,0.680536663,0.933074423,114,1,,,,,
6257,-419.5021895,0.680530299,0.93307235,114,1,,,,,
6262,-300.357853,0.680546347,0.933078537,114,1,,,,,
6260,-300.357853,0.680548336,0.933078176,114,1,,,,,
6258,-459.999985,0.680539149,0.933079147,114,1,,,,,
6263,-459.9999829,0.680544597,0.933081441,114,1,,,,,
6259,-459.9999665,0.680545852,0.933073381,114,1,,,,,
6256,-300.357853,0.680548414,0.933070324,114,1,,,,,
6255,-419.1863758,0.680530397,0.933068192,114,1,,,,,
6261,-419.4284843,0.680531346,0.933078511,114,1,,,,,
6260,-459.9999754,0.680543788,0.933077109,114,1,,,,,
6264,-459.9999518,0.680535784,0.933084445,114,1,,,,,
6257,-459.9999643,0.680536997,0.93306837,114,1,,,,,
6256,-459.9999874,0.680537431,0.933082537,114,1,,,,,
6262,-459.9999764,0.680534326,0.933075144,114,1,,,,,
6263,-459.9999975,0.680547809,0.933073374,114,1,,,,,
6258,-459.9999864,0.680541848,0.93308008,114,1,,,,,
6259,-459.999985,0.680544855,0.933073361,114,1,,,,,
6260,-459.9999838,0.680539322,0.933068507,114,1,,,,,
6255,-459.9964741,0.680547573,0.933073635,114,1,,,,,
6256,-459.9999796,0.680534449,0.933065981,114,1,,,,,
6261,-459.9999841,0.680537786,0.933081298,114,1,,,,,
6264,-419.4808208,0.68053103,0.933072462,114,1,,,,,
6257,-300.357853,0.680549612,0.933068164,114,1,,,,,
6260,-459.9999994,0.680533054,0.933068325,114,1,,,,,
6262,-419.5638824,0.680531588,0.933078465,114,1,,,,,
6263,-300.357853,0.680548375,0.933078439,114,1,,,,,
6258,-300.357853,0.680541546,0.93306755,114,1,,,,,
6256,-459.9999501,0.680535785,0.933080915,114,1,,,,,
6259,-459.999972,0.680540423,0.933078979,114,1,,,,,
6255,-459.9999768,0.680537732,0.933068863,114,1,,,,,
6261,-300.357853,0.680546571,0.933076501,114,1,,,,,
6264,-459.9999648,0.680545782,0.933073227,114,1,,,,,
6256,-300.357853,0.680533608,0.933069882,114,1,,,,,
6263,-459.9999723,0.680543426,0.933073846,114,1,,,,,
6260,-459.9999809,0.680538069,0.933065283,114,1,,,,,
6257,-300.357853,0.680546721,0.933073881,114,1,,,,,
6262,-419.4373173,0.68053129,0.933081255,114,1,,,,,
6258,-459.9999825,0.680534457,0.933081984,114,1,,,,,
6259,-300.357853,0.680533494,0.933081186,114,1,,,,,
6263,-459.9999826,0.680534657,0.933075169,114,1,,,,,
6256,-419.4422836,0.680530629,0.933069794,114,1,,,,,
6255,-459.9999971,0.680544286,0.933084094,114,1,,,,,
6261,-459.9999577,0.680545444,0.933076901,114,1,,,,,
6264,-459.9999782,0.680534381,0.93306707,114,1,,,,,
6260,-459.9999901,0.680542243,0.933081278,114,1,,,,,
6257,-459.9999625,0.680545131,0.933074369,114,1,,,,,
6262,-459.9999838,0.680539363,0.933071883,114,1,,,,,
6263,-459.9999572,0.680535818,0.933072525,114,1,,,,,
6256,-459.9999973,0.680547849,0.933081296,114,1,,,,,
6258,-459.999171,0.680547537,0.933066622,114,1,,,,,
6259,-459.9999823,0.680543772,0.933074731,114,1,,,,,
6255,-459.9999855,0.680541004,0.933064676,114,1,,,,,
6261,-459.9999969,0.680542924,0.933072584,114,1,,,,,
6263,-459.9999873,0.680537647,0.933077968,114,1,,,,,
6264,-300.357853,0.680547502,0.933079717,114,1,,,,,
6256,-459.9999926,0.680547014,0.933075348,114,1,,,,,
6260,-300.357853,0.680533466,0.933075835,114,1,,,,,
6257,-459.9999797,0.680534689,0.933064722,114,1,,,,,
6262,-459.9999767,0.680540159,0.933072124,114,1,,,,,
6258,-459.9999876,0.680540871,0.933072065,114,1,,,,,
6263,-300.357853,0.680548747,0.933075655,114,1,,,,,
6259,-459.9999767,0.68054019,0.93307817,114,1,,,,,
6256,-300.357853,0.680546233,0.933077506,114,1,,,,,
6255,-459.9999857,0.680544822,0.933067202,114,1,,,,,
6261,-300.357853,0.680548416,0.933068031,114,1,,,,,
6264,-300.357853,0.680549091,0.933068589,114,1,,,,,
6260,-459.9999963,0.68054764,0.933076657,114,1,,,,,
6257,-459.9999587,0.680536055,0.933079701,114,1,,,,,
6263,-459.9999875,0.680536553,0.933080873,114,1,,,,,
6262,-459.9999603,0.680541072,0.933083902,114,1,,,,,
6256,-419.4961609,0.680532543,0.933066639,114,1,,,,,
6258,-459.9999841,0.680540766,0.933066659,114,1,,,,,
6259,-300.357853,0.68053407,0.933077099,114,1,,,,,
6255,-300.357853,0.680546855,0.933067599,114,1,,,,,
6263,-459.9999862,0.680540634,0.933083831,114,1,,,,,
6261,-459.9999622,0.680541253,0.933082188,114,1,,,,,
6256,-459.9999664,0.680536934,0.933082043,114,1,,,,,
6264,-419.4509733,0.680530514,0.933078105,114,1,,,,,
6260,-459.9999845,0.680536409,0.933065882,114,1,,,,,
6257,-419.3449176,0.680530667,0.933072396,114,1,,,,,
6262,-459.9999882,0.680537673,0.933077486,114,1,,,,,
6258,-300.357853,0.680549294,0.933072381,114,1,,,,,
6263,-459.9999869,0.680541943,0.93307451,114,1,,,,,
6256,-419.4307093,0.680530737,0.933077541,114,1,,,,,
6259,-459.9999887,0.680544644,0.933071313,114,1,,,,,
6261,-459.9999848,0.680537978,0.933066125,114,1,,,,,
6255,-300.357853,0.680534069,0.933081295,114,1,,,,,
6264,-459.9999959,0.680538629,0.933067831,114,1,,,,,
6257,-459.9999952,0.680543653,0.933075192,114,1,,,,,
6263,-300.357853,0.680546705,0.933073558,114,1,,,,,
6260,-300.357853,0.68054684,0.933066933,114,1,,,,,
6256,-459.9999966,0.680542807,0.933077454,114,1,,,,,
6262,-300.357853,0.680533642,0.933069696,114,1,,,,,
6258,-300.357853,0.680548449,0.93307426,114,1,,,,,
6259,-459.999967,0.680540814,0.933077297,114,1,,,,,
6263,-459.9999934,0.68053836,0.933081632,114,1,,,,,
6261,-300.357853,0.680548004,0.933075839,114,1,,,,,
6256,-300.357853,0.680545968,0.933074919,114,1,,,,,
6255,-419.1684959,0.680531421,0.933071752,114,1,,,,,
6264,-459.9999787,0.680538763,0.933077361,114,1,,,,,
6257,-419.4173756,0.68053078,0.933074554,114,1,,,,,
6260,-459.9999685,0.680543868,0.933069283,114,1,,,,,
6262,-459.9999804,0.680539256,0.933081125,114,1,,,,,
6263,-459.9999332,0.680536031,0.933074505,114,1,,,,,
6258,-459.999982,0.68054057,0.933072422,114,1,,,,,
6256,-419.4417542,0.680532187,0.933067315,114,1,,,,,
6259,-459.9999699,0.680539867,0.933073133,114,1,,,,,
6261,-459.9999873,0.680541693,0.933077218,114,1,,,,,
6255,-459.9999601,0.680545208,0.933064952,114,1,,,,,
6264,-459.9999803,0.680536318,0.9330756,114,1,,,,,
6263,-300.357853,0.680533665,0.93308384,114,1,,,,,
6257,-459.9999934,0.680547247,0.933071232,114,1,,,,,
6260,-459.999983,0.68053929,0.93307138,114,1,,,,,
6256,-459.999973,0.680541115,0.933084388,114,1,,,,,
6262,-459.9999766,0.680538069,0.933072701,114,1,,,,,
6258,-459.9999873,0.6805396,0.933066474,114,1,,,,,
6263,-459.9997923,0.680529948,0.933067163,114,1,,,,,
6259,-459.9999853,0.680535003,0.933079733,114,1,,,,,
6256,-459.9999861,0.680539977,0.933078798,114,1,,,,,
6261,-459.9999962,0.680542978,0.933066984,114,1,,,,,
6255,-459.9998221,0.680529872,0.933079,114,1,,,,,
6264,-419.4336095,0.680531173,0.933065416,114,1,,,,,
6257,-300.357853,0.680546629,0.933082466,114,1,,,,,
6260,-459.9999923,0.680538317,0.933075985,114,1,,,,,
6263,-459.9999648,0.680535262,0.933078252,114,1,,,,,
6262,-300.357853,0.680546759,0.933065367,114,1,,,,,
6256,-459.9999633,0.680537036,0.933078665,114,1,,,,,
6258,-459.9999592,0.680545428,0.933084116,114,1,,,,,
6259,-300.357853,0.68054861,0.933077455,114,1,,,,,
6261,-459.999963,0.680535948,0.933074351,114,1,,,,,
6263,-300.357853,0.680549318,0.933082625,114,1,,,,,
6255,-459.9999846,0.680536148,0.933072904,114,1,,,,,
6264,-459.9999782,0.680543805,0.933071003,114,1,,,,,
6256,-459.9999891,0.680543403,0.933073509,114,1,,,,,
6257,-300.357853,0.680549063,0.933076183,114,1,,,,,
6260,-459.9999935,0.680547057,0.933084209,114,1,,,,,
6262,-459.999988,0.680539993,0.933075573,114,1,,,,,
6258,-300.357853,0.680545934,0.933067328,114,1,,,,,
6263,-459.9999347,0.680536084,0.933067366,114,1,,,,,
6256,-300.357853,0.680549323,0.933079516,114,1,,,,,
6259,-459.9999733,0.680540413,0.933080325,114,1,,,,,
6261,-459.9999411,0.680545366,0.933073544,114,1,,,,,
6264,-459.9999841,0.680534574,0.93306924,114,1,,,,,
6255,-459.9999792,0.680534848,0.933064764,114,1,,,,,
6257,-459.9999971,0.680547824,0.933077766,114,1,,,,,
6263,-459.9999851,0.680538966,0.933075656,114,1,,,,,
6260,-459.9999442,0.680545327,0.933065931,114,1,,,,,
6262,-459.9999842,0.680543758,0.93307644,114,1,,,,,
6256,-459.9999793,0.680534321,0.93307611,114,1,,,,,
6258,-459.9999551,0.680545558,0.933076862,114,1,,,,,
6259,-459.9999798,0.680534258,0.933080676,114,1,,,,,
6263,-459.9999851,0.680534986,0.933080165,114,1,,,,,
6261,-300.357853,0.680549645,0.933066572,114,1,,,,,
6264,-300.357853,0.680533298,0.933069004,114,1,,,,,
