process4129-459.99998628262745 {'r': 0.6805417735497369, 'lambda': 0.9330707389032984, 'epoch': 114, 'n': 1},,,,,,,
process4124-459.99996160365004 {'r': 0.6805368239209405, 'lambda': 0.9330736364488819, 'epoch': 114, 'n': 1},,,,,,,
process4480-459.9999582216589 {'r': 0.6805354898314795, 'lambda': 0.9330756299996497, 'epoch': 114, 'n': 1},,,,,,,
process4478-459.9999965335237 {'r': 0.6805428538943594, 'lambda': 0.933077999664246, 'epoch': 114, 'n': 1},,,,,,,
process4476-459.99999680158743 {'r': 0.6805415980519872, 'lambda': 0.9330736153228768, 'epoch': 114, 'n': 1},,,,,,,
process4133-459.99998621595455 {'r': 0.6805400030498198, 'lambda': 0.9330789827970241, 'epoch': 114, 'n': 1},,,,,,,
process4477-459.9999854550932 {'r': 0.680537194546169, 'lambda': 0.9330709125237842, 'epoch': 114, 'n': 1},,,,,,,
process4130-459.99996825785803 {'r': 0.6805440059333664, 'lambda': 0.9330761525195226, 'epoch': 114, 'n': 1},,,,,,,
process4479-459.9999676971327 {'r': 0.6805439987584874, 'lambda': 0.9330740671215124, 'epoch': 114, 'n': 1},,,,,,,
process4132-459.99998458949074 {'r': 0.6805406500991855, 'lambda': 0.9330723325179898, 'epoch': 114, 'n': 1},,,,,,,
process4484-459.99999701780087 {'r': 0.6805431340191546, 'lambda': 0.9330719778535511, 'epoch': 114, 'n': 1},,,,,,,
process4481-459.99998824703897 {'r': 0.6805418314475162, 'lambda': 0.9330761796590934, 'epoch': 114, 'n': 1},,,,,,,
process4125-300.3578530192974 {'r': 0.6805414430222997, 'lambda': 0.9330747108901192, 'epoch': 114, 'n': 1},,,,,,,
process4475-459.99998990005247 {'r': 0.6805418977938433, 'lambda': 0.933073628637739, 'epoch': 114, 'n': 1},,,,,,,
process4128-459.999983856484 {'r': 0.6805405912863903, 'lambda': 0.9330716632753725, 'epoch': 114, 'n': 1},,,,,,,
process4483-459.9999773108083 {'r': 0.6805388776201138, 'lambda': 0.9330792977388463, 'epoch': 114, 'n': 1},,,,,,,
process4127-459.99998848742865 {'r': 0.6805418362785683, 'lambda': 0.9330697994176964, 'epoch': 114, 'n': 1},,,,,,,
process,ans,r,lambda,epoch,nprocess4126-459.9999851338815 {'r': 0.6805390583963126, 'lambda': 0.9330753603815153, 'epoch': 114, 'n': 1},,
process4131-459.99996044965053 {'r': 0.680535479967665, 'lambda': 0.93307896219644, 'epoch': 114, 'n': 1},,,,,,,
process4482-459.99998033815297 {'r': 0.6805362216634311, 'lambda': 0.9330760695613137, 'epoch': 114, 'n': 1},,,,,,,
process4124-459.99999583259284 {'r': 0.6805429420186274, 'lambda': 0.9330732487135995, 'epoch': 114, 'n': 1},,,,,,,
process4480-459.9999504009858 {'r': 0.6805354435252325, 'lambda': 0.9330735969740902, 'epoch': 114, 'n': 1},,,,,,,
process4129-459.99997975480403 {'r': 0.6805377169109269, 'lambda': 0.9330727327666892, 'epoch': 114, 'n': 1},,,,,,,
process4133-459.9999649231423 {'r': 0.6805355563550101, 'lambda': 0.9330764188768336, 'epoch': 114, 'n': 1},,,,,,,
process4478-459.9999639112731 {'r': 0.6805351718484078, 'lambda': 0.9330750240652077, 'epoch': 114, 'n': 1},,,,,,,
process4477-459.9999630363241 {'r': 0.680536913837063, 'lambda': 0.9330770799454976, 'epoch': 114, 'n': 1},,,,,,,
process4476-459.9999918244656 {'r': 0.6805443189731164, 'lambda': 0.9330726809030778, 'epoch': 114, 'n': 1},,,,,,,
process4479-459.9999831977754 {'r': 0.680537978310746, 'lambda': 0.9330782750273929, 'epoch': 114, 'n': 1},,,,,,,
process4130-459.99996849302227 {'r': 0.6805440383663959, 'lambda': 0.9330711112579377, 'epoch': 114, 'n': 1},,,,,,,
process4132-459.99999599294387 {'r': 0.680538638725566, 'lambda': 0.9330717715209972, 'epoch': 114, 'n': 1},,,,,,,
process4484-459.9999810394963 {'r': 0.6805363842361445, 'lambda': 0.9330766348727184, 'epoch': 114, 'n': 1},,,,,,,
process4481-459.9999558798188 {'r': 0.6805368516846066, 'lambda': 0.9330765039250608, 'epoch': 114, 'n': 1},,,,,,,
process4128-459.9999741138711 {'r': 0.680538089475603, 'lambda': 0.9330726377502016, 'epoch': 114, 'n': 1},,,,,,,
process4125-459.99998858503034 {'r': 0.6805433980055273, 'lambda': 0.9330794507382197, 'epoch': 114, 'n': 1},,,,,,,
process4127-459.9999878486896 {'r': 0.680539594269529, 'lambda': 0.933076782408935, 'epoch': 114, 'n': 1},,,,,,,
process4483-459.9999886405819 {'r': 0.6805378667222699, 'lambda': 0.9330763053511432, 'epoch': 114, 'n': 1},,,,,,,
process4475-459.9999865230623 {'r': 0.680537636714887, 'lambda': 0.9330695477110326, 'epoch': 114, 'n': 1},,,,,,,
5215,-459.9999624,0.680537025,0.933075674,114,1,,,,,
5216,-459.9999903,0.680542046,0.933076521,114,1,,,,,
process4482-459.9999884614227 {'r': 0.6805433824825746, 'lambda': 0.9330716323993241, 'epoch': 114, 'n': 1},,,,,,,
process4126-459.9999811680124 {'r': 0.6805362243346327, 'lambda': 0.9330776028412194, 'epoch': 114, 'n': 1},,,,,,,
process4131-459.9999889025408 {'r': 0.6805446358377668, 'lambda': 0.9330780854102397, 'epoch': 114, 'n': 1},,,,,,,
process4480-459.9999972292283 {'r': 0.6805432570232631, 'lambda': 0.933074633288357, 'epoch': 114, 'n': 1},,,,,,,
process4124-459.99998704733355 {'r': 0.6805408503792105, 'lambda': 0.9330753201929636, 'epoch': 114, 'n': 1},,,,,,,
process4478-459.9999896790277 {'r': 0.6805418329943731, 'lambda': 0.9330765298315443, 'epoch': 114, 'n': 1},,,,,,,
process4129-459.9999718726026 {'r': 0.6805397010199847, 'lambda': 0.9330728960362864, 'epoch': 114, 'n': 1},,,,,,,
process4133-459.9999951033711 {'r': 0.6805385255572901, 'lambda': 0.9330750953008485, 'epoch': 114, 'n': 1},,,,,,,
process4477-459.99999699891544 {'r': 0.6805415850246158, 'lambda': 0.9330744125973215, 'epoch': 114, 'n': 1},,,,,,,
process4476-459.9999659359687 {'r': 0.6805370858164267, 'lambda': 0.9330774818887762, 'epoch': 114, 'n': 1},,,,,,,
process4479-459.99998735546535 {'r': 0.6805418561543236, 'lambda': 0.9330725073574027, 'epoch': 114, 'n': 1},,,,,,,
process4132-459.99999690355844 {'r': 0.6805428039009094, 'lambda': 0.9330726985372513, 'epoch': 114, 'n': 1},,,,,,,
process4130-459.99996170990664 {'r': 0.6805353150540531, 'lambda': 0.9330765840734164, 'epoch': 114, 'n': 1},,,,,,,
process4481-459.999990834132 {'r': 0.6805442399179199, 'lambda': 0.9330774649076985, 'epoch': 114, 'n': 1},,,,,,,
process4128-459.999986027181 {'r': 0.6805390016962711, 'lambda': 0.9330737609266829, 'epoch': 114, 'n': 1},,,,,,,
process4484-459.99997459910577 {'r': 0.6805440681191139, 'lambda': 0.93307341422314, 'epoch': 114, 'n': 1},,,,,,,
process4483-459.99998523710394 {'r': 0.6805391345207447, 'lambda': 0.9330753410149032, 'epoch': 114, 'n': 1},,,,,,,
process4125-459.99998135015755 {'r': 0.6805362040765077, 'lambda': 0.9330774711208514, 'epoch': 114, 'n': 1},,,,,,,
