process,ans,r,lambda,epoch,n5447,10367.98081,0.680542927,0.933076487,114,1
5445,-459.9999902,0.680541205,0.933071919,114,1,,,,,
5448,-459.9999902,0.680537826,0.933072327,114,1,,,,,
5446,-459.9999901,0.680539992,0.933070857,114,1,,,,,
6371,-459.9999901,0.680540777,0.933070517,114,1,,,,,
5452,-459.9999901,0.680543392,0.933073284,114,1,,,,,
5446,-459.99999,0.680537858,0.933074136,114,1,,,,,
5450,-459.9999899,0.680541235,0.933071676,114,1,,,,,
5444,-459.9999899,0.680541187,0.933078377,114,1,,,,,
6373,-459.9999899,0.680544987,0.933072686,114,1,,,,,
5452,-459.9999899,0.68053654,0.933069841,114,1,,,,,
6369,-459.9999898,0.680541206,0.933082724,114,1,,,,,
5447,-459.9999898,0.680536542,0.933073956,114,1,,,,,
5445,-459.9999897,0.680537864,0.933077522,114,1,,,,,
6366,-459.9999897,0.680540974,0.933070704,114,1,,,,,
5449,-459.9999897,0.680536566,0.933076055,114,1,,,,,
6365,-459.9999896,0.680536664,0.933075195,114,1,,,,,
5447,-459.9999896,0.680543364,0.933070413,114,1,,,,,
5453,-459.9999895,0.680536528,0.933070243,114,1,,,,,
5453,-459.9999893,0.680541211,0.933076477,114,1,,,,,
6368,-459.9999893,0.680541244,0.933080066,114,1,,,,,
5451,-459.9999893,0.680536549,0.933078422,114,1,,,,,
5451,-459.9999892,0.680537872,0.933069758,114,1,,,,,
6366,-459.9999892,0.680536692,0.933067347,114,1,,,,,
6369,-459.9999891,0.680543352,0.933072569,114,1,,,,,
6364,-459.9999891,0.680543404,0.93307252,114,1,,,,,
5447,-459.9999891,0.680543395,0.933071107,114,1,,,,,
5453,-459.9999891,0.680544659,0.933073296,114,1,,,,,
5445,-459.9999891,0.680544726,0.933070266,114,1,,,,,
5451,-459.999989,0.680537823,0.933074703,114,1,,,,,
5445,-459.999989,0.680540954,0.933076127,114,1,,,,,
5449,-459.999989,0.680540879,0.933069666,114,1,,,,,
6366,-459.9999889,0.68054502,0.933077301,114,1,,,,,
5445,-459.9999889,0.680537298,0.933071121,114,1,,,,,
5450,-459.9999888,0.68053959,0.933078626,114,1,,,,,
6373,-459.9999888,0.68054124,0.933072038,114,1,,,,,
5449,-459.9999888,0.680540035,0.933073483,114,1,,,,,
5448,-459.9999888,0.680540919,0.933078919,114,1,,,,,
5445,-459.9999888,0.68054093,0.933072191,114,1,,,,,
5445,-459.9999888,0.680539965,0.933071355,114,1,,,,,
5451,-459.9999887,0.680536563,0.933072427,114,1,,,,,
5449,-459.9999887,0.680537398,0.933069885,114,1,,,,,
5450,-459.9999887,0.680537348,0.933071789,114,1,,,,,
5448,-459.9999887,0.680543349,0.933075719,114,1,,,,,
5448,-459.9999886,0.680540907,0.933077696,114,1,,,,,
6365,-459.9999886,0.680536642,0.933073737,114,1,,,,,
